,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
63,63,0,0,0,,2.0,3.0,,10.0,9.2,10.3,11.3,12.7,14.9,11.6,618.0,650.0,740.0,841.0,1020.0,776.0,67.0,1191.0,,0.0
64,64,0,0,0,,,3.0,1.0,,8.8,10.2,12.0,14.9,18.4,12.0,470.0,600.0,720.0,940.0,1270.0,815.0,68.0,986.0,,0.0
65,65,0,0,0,,1.0,3.0,1.0,1.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,23.0,,0.0
66,66,0,0,0,,1.0,3.0,1.0,3.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,42.0,,0.0
67,67,0,0,0,,3.0,3.0,1.0,4.0,13.0,13.7,17.6,18.6,20.0,15.8,390.0,410.0,464.0,520.0,535.0,465.0,29.0,228.0,,0.0
68,68,0,0,0,,3.0,3.0,1.0,5.0,10.8,12.3,14.0,16.0,18.8,13.9,470.0,545.0,605.0,680.0,760.0,622.0,45.0,292.0,,0.0
69,69,0,0,0,,3.0,3.0,1.0,6.0,8.3,10.7,11.6,13.8,14.9,11.8,535.0,650.0,700.0,850.0,1038.0,761.0,65.0,259.0,,0.0
70,70,0,0,0,,3.0,3.0,1.0,7.0,7.6,9.0,10.0,10.8,12.6,10.4,662.0,780.0,900.0,1080.0,1250.0,929.0,89.0,142.0,,0.0
71,71,0,0,0,,,3.0,2.0,,8.5,9.8,11.4,13.9,17.1,11.4,484.0,613.0,730.0,990.0,1280.0,809.0,71.0,3101.0,,0.0
72,72,0,0,0,,1.0,3.0,2.0,1.0,11.8,12.0,14.2,15.0,15.5,13.2,711.0,750.0,847.0,1200.0,1200.0,923.0,70.0,62.0,,0.0
