Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Appart 2P;10,0;11,4;13,2;16,3;18,8;13,4;470;528;600;651;730;607;45;799;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Appart 3P;9,1;10,0;11,0;12,4;14,4;11,2;620;650;704;802;934;752;67;870;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Appart 4P+;7,7;8,8;9,8;12,0;13,4;10,5;600;652;816;1141;1520;947;90;526;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;;;10,6;11,9;14,2;17,3;20,3;13,6;460;582;745;949;1330;834;61;4363;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;;Ensemble 4P+;9,4;10,5;11,5;14,1;15,8;12,2;876;1000;1200;1450;2000;1319;108;620;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;;Ensemble 1P;14,2;17,0;20,0;22,2;25,6;19,3;350;400;460;500;600;461;24;866;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;;Ensemble 2P;12,4;13,9;15,6;17,7;19,4;15,5;529;582;650;704;770;646;42;1686;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;;Ensemble 3P;10,6;11,5;12,7;14,1;15,0;12,8;677;757;820;901;1080;848;66;1191;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;;11,1;12,3;14,7;17,6;20,6;13,8;425;565;700;900;1300;813;59;1119;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;25;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;49;;Estimation directe,,,,,,
