,Observatory,Data_year,agglomeration,Type_habitat,epoque_construction_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,methodologie_production
1936,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,,7.2,8.9,10.5,11.8,12.9,9.7,378.0,473.0,553.0,650.0,740.0,566.0,59.0,1052.0,Estimation directe
1937,B3000,2020,Agglomération de Nîmes,,,,7.2,8.6,10.0,11.3,12.9,9.4,357.0,425.0,520.0,650.0,802.0,555.0,59.0,6339.0,Estimation directe
1938,B3000,2020,Agglomération de Nîmes,Maison,,Maison 1-3P,7.3,8.8,9.9,12.8,14.3,9.9,405.0,500.0,650.0,750.0,800.0,626.0,63.0,116.0,Estimation directe
1939,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 4P+,6.2,7.1,8.4,9.5,10.3,8.2,520.0,600.0,740.0,881.0,972.0,762.0,93.0,953.0,Estimation directe
1940,B3000,2020,Agglomération de Nîmes,Maison,,Maison 4P+,7.2,8.6,9.5,10.2,11.0,9.1,606.0,831.0,880.0,950.0,1113.0,903.0,100.0,219.0,Estimation directe
1941,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 1P,9.2,10.8,12.6,14.8,17.0,12.3,281.0,315.0,350.0,380.0,414.0,349.0,28.0,890.0,Estimation directe
1942,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 2P,8.5,9.7,10.9,11.8,12.9,10.5,371.0,409.0,460.0,518.0,550.0,463.0,44.0,2511.0,Estimation directe
1943,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 3P,7.2,8.3,9.4,10.3,11.2,9.1,460.0,519.0,600.0,650.0,700.0,585.0,64.0,1869.0,Estimation directe
1944,B3000,2020,Agglomération de Nîmes,Appartement,,Appart 4P+,5.8,6.8,7.8,9.0,9.9,7.8,497.0,566.0,690.0,780.0,900.0,694.0,89.0,734.0,Estimation directe
1945,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 1P,9.2,10.8,12.7,15.0,17.0,12.4,283.0,315.0,350.0,385.0,414.0,351.0,28.0,893.0,Estimation directe
1946,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 2P,8.5,9.7,10.9,11.8,12.9,10.6,372.0,410.0,462.0,519.0,550.0,464.0,44.0,2533.0,Estimation directe
1947,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 3P,7.1,8.3,9.4,10.3,11.3,9.1,458.0,520.0,600.0,655.0,721.0,595.0,65.0,1960.0,Estimation directe
1948,B3000,2020,Agglomération de Nîmes,,,,7.6,9.0,10.2,11.8,13.5,9.8,355.0,425.0,520.0,636.0,797.0,547.0,56.0,1719.0,Estimation directe
1949,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 4P+,6.8,7.7,8.7,10.0,10.2,8.7,560.0,650.0,850.0,889.0,1000.0,805.0,93.0,194.0,Estimation directe
1950,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 1P,9.4,11.8,13.0,15.4,17.0,12.6,300.0,320.0,355.0,380.0,414.0,351.0,28.0,282.0,Estimation directe
1951,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 2P,8.7,9.8,10.9,11.9,13.3,10.7,380.0,421.0,473.0,520.0,550.0,471.0,44.0,721.0,Estimation directe
1952,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 3P,7.3,8.5,9.4,10.5,11.8,9.3,480.0,535.0,610.0,650.0,750.0,607.0,65.0,522.0,Estimation directe
1953,B3000,2020,Agglomération de Nîmes,,,,6.9,8.4,9.8,11.1,12.7,9.2,359.0,424.0,522.0,650.0,810.0,558.0,61.0,4620.0,Estimation directe
1954,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 4P+,6.0,6.9,8.4,9.4,10.3,8.1,500.0,600.0,724.0,881.0,957.0,751.0,93.0,759.0,Estimation directe
1955,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 1P,9.2,10.8,12.6,14.6,16.9,12.3,275.0,313.0,350.0,391.0,414.0,350.0,29.0,611.0,Estimation directe
1956,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 2P,8.5,9.6,10.8,11.7,12.7,10.5,370.0,403.0,458.0,512.0,556.0,461.0,44.0,1812.0,Estimation directe
1957,B3000,2020,Agglomération de Nîmes,Ensemble,,Ensemble 3P,7.0,8.2,9.4,10.2,11.0,9.1,450.0,514.0,600.0,655.0,710.0,589.0,65.0,1438.0,Estimation directe
